timestamp_ms,bid0_price,bid0_size,bid0_orders,bid1_price,bid1_size,bid1_orders,bid2_price,bid2_size,bid2_orders,bid3_price,bid3_size,bid3_orders,bid4_price,bid4_size,bid4_orders,bid5_price,bid5_size,bid5_orders,bid6_price,bid6_size,bid6_orders,bid7_price,bid7_size,bid7_orders,bid8_price,bid8_size,bid8_orders,bid9_price,bid9_size,bid9_orders,bid10_price,bid10_size,bid10_orders,bid11_price,bid11_size,bid11_orders,bid12_price,bid12_size,bid12_orders,bid13_price,bid13_size,bid13_orders,bid14_price,bid14_size,bid14_orders,bid15_price,bid15_size,bid15_orders,bid16_price,bid16_size,bid16_orders,bid17_price,bid17_size,bid17_orders,bid18_price,bid18_size,bid18_orders,bid19_price,bid19_size,bid19_orders,bid20_price,bid20_size,bid20_orders,bid21_price,bid21_size,bid21_orders,bid22_price,bid22_size,bid22_orders,bid23_price,bid23_size,bid23_orders,bid24_price,bid24_size,bid24_orders,ask0_price,ask0_size,ask0_orders,ask1_price,ask1_size,ask1_orders,ask2_price,ask2_size,ask2_orders,ask3_price,ask3_size,ask3_orders,ask4_price,ask4_size,ask4_orders,ask5_price,ask5_size,ask5_orders,ask6_price,ask6_size,ask6_orders,ask7_price,ask7_size,ask7_orders,ask8_price,ask8_size,ask8_orders,ask9_price,ask9_size,ask9_orders,ask10_price,ask10_size,ask10_orders,ask11_price,ask11_size,ask11_orders,ask12_price,ask12_size,ask12_orders,ask13_price,ask13_size,ask13_orders,ask14_price,ask14_size,ask14_orders,ask15_price,ask15_size,ask15_orders,ask16_price,ask16_size,ask16_orders,ask17_price,ask17_size,ask17_orders,ask18_price,ask18_size,ask18_orders,ask19_price,ask19_size,ask19_orders,ask20_price,ask20_size,ask20_orders,ask21_price,ask21_size,ask21_orders,ask22_price,ask22_size,ask22_orders,ask23_price,ask23_size,ask23_orders,ask24_price,ask24_size,ask24_orders,bid_vol_total,ask_vol_total,imbalance,spread,mid_price
1790383850556,83902.7,1264.86,48,83902.6,0.02,2,83902.5,5,1,83902.2,0.02,1,83902.1,0.01,1,83902,5.01,2,83901,0.02,2,83900.7,0.01,1,83900.5,0.01,1,83900.4,4.77,1,83900.2,0.03,3,83900.1,119.25,3,83900,150,1,83899.9,65.35,19,83899.8,25,1,83899.6,0.01,1,83899.5,26.17,2,83899.4,0.03,3,83899.3,175.01,3,83899.2,0.63,4,83899.1,4.86,4,83898.8,0.01,1,83898.6,0.03,3,83898.5,151.32,5,83898.4,144.3,5,83902.8,108,16,83903,0.02,2,83903.1,0.02,2,83903.2,1.21,2,83903.4,0.02,2,83903.6,0.02,2,83903.7,0.72,3,83903.8,0.63,4,83903.9,46.84,2,83904,0.15,3,83904.1,1.51,3,83904.3,0.06,1,83904.4,0.03,2,83904.5,0.14,1,83904.6,0.04,4,83904.7,20.34,9,83904.8,0.01,1,83905,30.44,4,83905.1,0.01,1,83905.2,0.02,2,83905.3,0.46,2,83905.4,0.1,1,83905.6,0.04,4,83905.7,59.71,1,83905.8,0.08,3,2141.73,270.62,0.7756,0.1,83902.8
1790383880756,83904.6,484.73,58,83904.5,0.02,2,83903.5,0.02,1,83903.4,0.01,1,83902.8,0.08,5,83902.7,0.65,3,83902.6,0.01,1,83902.1,0.02,2,83902,1.03,2,83901.8,0.01,1,83901.5,0.03,3,83901.4,0.95,1,83901,0.02,2,83900.9,0.02,1,83900.7,0.01,1,83900.6,0.02,1,83900.4,0.03,3,83900.3,1.3,1,83900.2,0.01,1,83900.1,4.78,2,83900,45.08,1,83899.9,0.02,2,83899.6,0.04,4,83899.5,2.71,1,83899.4,0.01,1,83904.7,456.14,41,83904.8,0.02,2,83904.9,0.01,1,83905,0.18,4,83905.1,0.01,1,83905.2,0.01,1,83905.6,0.02,2,83905.7,0.14,3,83905.8,57.13,6,83905.9,25.83,6,83906,29.64,3,83906.2,0.1,3,83906.3,0.02,1,83906.7,0.06,3,83906.8,0.02,2,83907,0.03,3,83907.1,25.47,6,83907.2,36.8,4,83907.3,0.47,3,83907.4,0.01,1,83907.5,0.46,2,83907.6,0.02,2,83907.7,0.06,5,83907.8,1.34,3,83907.9,0.15,3,541.61,634.14,-0.0787,0.1,83904.6
1790383910956,83904.6,851.05,69,83904.5,0.95,9,83904.4,26.17,3,83904.3,87.56,3,83904.2,28.68,3,83904,0.04,4,83903.9,26.31,5,83903.8,1.14,1,83903.6,0.02,2,83903.5,6.39,2,83903.4,1.44,5,83903.3,0.94,3,83903.2,2.37,1,83903.1,0.01,1,83903,0.94,1,83902.8,0.07,4,83902.7,0.66,4,83902.6,0.03,3,83902.5,1.36,2,83902.3,0.01,1,83902.2,3.63,2,83902.1,0.02,2,83902,2.81,3,83901.9,0.01,1,83901.8,2.79,5,83904.7,9.5,10,83904.8,0.38,2,83904.9,0.01,1,83905,0.18,4,83905.1,0.01,1,83905.2,0.01,1,83905.6,0.02,2,83905.8,0.09,4,83905.9,0.83,5,83906,4.64,2,83906.1,0.01,1,83906.2,0.1,3,83906.3,0.02,1,83906.7,0.06,3,83906.8,0.02,2,83906.9,0.01,1,83907.1,0.47,5,83907.2,36.79,3,83907.3,0.47,3,83907.4,0.01,1,83907.6,0.01,1,83907.7,0.05,4,83907.8,0.18,2,83907.9,0.07,2,83908,0.11,2,1045.4,54.05,0.9017,0.1,83904.6
1790383941206,83881.5,320.26,19,83881.3,0.01,1,83881.2,1.21,2,83881.1,1.35,1,83881,0.02,1,83880.9,0.04,1,83880,0.01,1,83879.9,0.06,2,83879.8,0.01,1,83879.7,0.05,5,83879.6,24.52,4,83879.5,0.01,1,83879.2,0.01,1,83878.9,0.13,4,83878.8,5.96,2,83878.6,0.01,1,83878.4,0.02,2,83878.2,0.03,3,83878,0.01,1,83877.9,0.01,1,83877.4,0.11,2,83877.3,0.01,1,83877.1,0.01,1,83877,0.01,1,83876.9,0.01,1,83881.6,1546.14,84,83881.7,0.03,2,83882.1,0.01,1,83882.2,0.02,1,83882.4,0.02,2,83882.6,0.02,2,83882.7,36.94,2,83882.9,0.01,1,83883,0.02,1,83883.5,0.03,3,83883.6,25.01,2,83883.8,0.01,1,83884.4,0.01,1,83884.6,0.08,1,83884.8,0.01,1,83885.1,166.74,5,83885.2,175.01,3,83885.3,166.67,9,83885.4,27.02,4,83885.5,0.1,1,83885.8,9.76,2,83885.9,0.01,1,83886,0.02,2,83886.1,0.03,3,83886.2,56.19,2,353.88,2209.91,-0.7239,0.1,83881.6
1790383971406,83863.7,222.73,42,83863.6,0.4,3,83863.4,0.01,1,83863.3,0.11,1,83863,0.02,2,83862.9,0.01,1,83862.8,0.02,2,83862.7,0.02,2,83862.5,0.03,2,83862.4,0.01,1,83862.2,0.02,2,83862.1,0.01,1,83861.7,0.01,1,83861.4,0.02,2,83861.2,0.03,3,83861.1,0.77,4,83861,0.01,1,83860.6,0.01,1,83860.5,0.04,4,83860.4,1.64,1,83860.2,0.02,2,83860,0.02,1,83859.8,0.01,1,83859.7,0.03,3,83859.6,1.2,1,83863.8,617.16,47,83863.9,0.27,4,83864.2,0.02,1,83864.3,0.01,1,83864.4,26.12,2,83864.7,0.03,3,83864.8,69.71,4,83864.9,25,1,83865,0.01,1,83865.3,0.04,1,83865.4,0.02,2,83865.5,25.08,2,83865.6,0.03,3,83865.7,0.03,3,83865.8,9.55,2,83866.1,0.04,1,83866.3,0.1,1,83866.4,0.11,2,83866.6,0.01,1,83867.3,0.14,1,83867.4,0.01,1,83867.6,0.02,2,83867.7,0.6,1,83867.9,0.02,2,83868,8.26,3,227.2,782.39,-0.5499,0.1,83863.8
1790384001606,83863.7,594.05,55,83863.6,0.14,2,83863.2,0.01,1,83863.1,0.01,1,83863,41.25,6,83862.9,0.02,2,83862.8,26.18,4,83862.7,0.02,2,83862.5,0.05,4,83862.4,72.01,3,83862.2,0.02,2,83862.1,0.01,1,83862,0.01,1,83861.7,0.01,1,83861.4,0.02,2,83861.2,29,3,83861.1,29.94,5,83861,0.02,2,83860.9,0.61,2,83860.6,0.01,1,83860.5,0.04,4,83860.4,1.65,2,83860.2,0.02,2,83860,0.02,1,83859.8,0.01,1,83863.8,131.53,19,83863.9,0.27,4,83864.6,0.02,1,83864.7,0.01,1,83864.9,0.02,2,83865,30,1,83865.6,0.01,1,83865.8,0.01,1,83866.4,0.11,2,83866.6,0.01,1,83867.1,0.02,1,83867.3,0.14,1,83867.4,0.01,1,83868,0.04,3,83868.1,0.01,1,83868.2,0.01,1,83869,0.11,2,83869.3,0.03,3,83869.8,0.03,3,83869.9,0.02,2,83870,10.3,6,83870.1,34.1,1,83870.6,0.02,2,83870.7,0.12,1,83870.8,0.01,1,795.13,206.96,0.5869,0.1,83863.8
1790384031806,83863.7,327.34,49,83863.6,0.22,4,83863.1,0.01,1,83863,0.02,2,83862.9,0.01,1,83862.8,0.02,2,83862.7,0.02,2,83862.5,0.05,4,83862.4,47.01,2,83862.2,0.02,2,83862.1,0.01,1,83861.7,0.01,1,83861.4,0.02,2,83861.2,0.01,1,83861.1,6.07,4,83861,0.02,2,83860.9,0.61,2,83860.7,1.19,1,83860.6,0.01,1,83860.5,0.04,4,83860.4,1.65,2,83860.2,0.04,4,83860.1,16.22,2,83860,0.02,1,83859.9,0.02,2,83863.8,438.64,20,83863.9,0.07,2,83864.5,0.02,1,83864.6,0.01,1,83864.7,44.46,5,83864.8,56.78,1,83864.9,0.02,2,83865,30,1,83865.4,0.02,1,83865.6,0.03,3,83865.8,0.01,1,83866.2,0.02,1,83866.4,0.11,2,83866.5,0.02,2,83866.6,0.61,2,83866.9,0.12,1,83867.3,0.14,1,83867.4,0.03,3,83867.5,16.22,2,83867.9,0.02,2,83868,8.37,3,83868.1,0.01,1,83868.2,0.02,2,83869,0.13,4,83869.1,1.19,1,400.66,597.07,-0.1969,0.1,83863.8
1790384062006,83873.1,1466.36,57,83873,0.25,5,83872.9,0.1,1,83872.6,0.01,1,83872.3,0.01,1,83872.2,25,1,83871.5,0.01,1,83871.4,0.6,1,83871.3,0.01,1,83871.1,0.01,1,83871,0.01,1,83870.8,0.04,4,83870.7,29.8,5,83870.6,25,1,83870.5,0.11,2,83869.9,0.01,1,83869.8,1.14,3,83869.7,0.23,2,83869.5,0.01,1,83869.4,28.97,5,83869.3,25,1,83869.2,0.01,1,83869,0.02,2,83868.9,8.44,2,83868.8,0.01,1,83873.2,11.3,9,83873.3,1.23,3,83873.4,0.01,1,83873.5,0.54,1,83873.8,0.01,1,83874,0.01,1,83874.4,0.01,1,83874.5,0.02,2,83875.2,0.01,1,83875.8,0.1,1,83876.9,0.01,1,83877.6,0.01,1,83878.1,0.01,1,83878.2,0.02,2,83878.4,0.12,3,83878.6,0.01,1,83878.8,0.02,2,83878.9,9.56,3,83879,32.45,2,83879.2,0.04,4,83879.3,56.62,1,83879.4,0.02,2,83879.6,0.02,2,83879.7,0.08,1,83879.8,0.01,1,1611.16,112.24,0.8697,0.1,83873.1
1790384092206,83863.7,490.14,57,83863.6,0.19,1,83863.1,0.01,1,83863,0.02,2,83862.9,0.01,1,83862.8,0.02,2,83862.5,0.03,2,83862.4,0.01,1,83862.2,0.02,2,83862.1,0.01,1,83861.7,0.01,1,83861.6,0.1,1,83861.4,0.04,4,83861.3,30.97,4,83861.2,0.01,1,83861.1,0.01,1,83860.9,0.02,2,83860.8,0.61,2,83860.6,0.01,1,83860.5,0.04,4,83860.4,26.65,3,83860.2,0.02,2,83860,0.02,1,83859.8,0.03,3,83859.7,25.03,4,83863.8,821.83,33,83863.9,0.01,1,83864.8,0.02,1,83864.9,0.01,1,83865,0.01,1,83865.2,0.02,2,83865.5,0.02,2,83865.6,0.63,4,83865.8,0.04,4,83865.9,5.79,1,83866,0.01,1,83866.3,0.01,1,83866.4,0.07,1,83866.9,0.11,2,83867.1,0.01,1,83867.3,0.1,1,83867.8,0.01,1,83867.9,1.2,2,83868,0.03,3,83868.1,0.01,1,83868.2,0.01,1,83868.3,0.02,2,83868.4,16.22,2,83868.7,0.02,2,83868.8,1.25,2,574.03,847.46,-0.1924,0.1,83863.8
1790401217652,83911.2,251.3,44,83911.1,0.01,1,83910.9,0.01,1,83910.8,0.01,1,83910.6,0.01,1,83910.4,0.01,1,83909.8,0.01,1,83909.7,5.35,2,83909.6,11.7,1,83909.5,0.01,1,83909.2,0.04,4,83909.1,5.96,2,83908.8,0.01,1,83908.7,0.1,1,83908.6,0.01,1,83908.5,0.01,1,83908.4,0.01,1,83907.8,0.01,1,83907.6,0.03,3,83907.5,0.04,4,83907.4,1.1,2,83907.2,0.01,1,83906.8,0.02,2,83906.7,0.03,3,83906.6,0.6,1,83911.3,1026.09,91,83911.4,0.01,1,83911.5,0.02,1,83911.6,0.46,2,83911.8,0.02,2,83912,0.12,3,83912.1,0.6,1,83912.4,0.02,2,83912.5,0.02,2,83912.6,0.99,5,83912.7,5.14,9,83913,0.01,1,83913.2,0.02,2,83913.3,0.99,2,83913.4,0.01,1,83913.5,0.95,1,83913.8,0.1,1,83914,0.1,1,83914.1,0.01,1,83914.2,0.01,1,83914.3,0.18,1,83914.4,0.01,1,83914.7,0.01,1,83915,0.01,1,83915.1,0.08,1,276.4,1035.98,-0.5788,0.1,83911.2
