timestamp_ms,bid0_price,bid0_size,bid0_orders,bid1_price,bid1_size,bid1_orders,bid2_price,bid2_size,bid2_orders,bid3_price,bid3_size,bid3_orders,bid4_price,bid4_size,bid4_orders,bid5_price,bid5_size,bid5_orders,bid6_price,bid6_size,bid6_orders,bid7_price,bid7_size,bid7_orders,bid8_price,bid8_size,bid8_orders,bid9_price,bid9_size,bid9_orders,bid10_price,bid10_size,bid10_orders,bid11_price,bid11_size,bid11_orders,bid12_price,bid12_size,bid12_orders,bid13_price,bid13_size,bid13_orders,bid14_price,bid14_size,bid14_orders,bid15_price,bid15_size,bid15_orders,bid16_price,bid16_size,bid16_orders,bid17_price,bid17_size,bid17_orders,bid18_price,bid18_size,bid18_orders,bid19_price,bid19_size,bid19_orders,bid20_price,bid20_size,bid20_orders,bid21_price,bid21_size,bid21_orders,bid22_price,bid22_size,bid22_orders,bid23_price,bid23_size,bid23_orders,bid24_price,bid24_size,bid24_orders,ask0_price,ask0_size,ask0_orders,ask1_price,ask1_size,ask1_orders,ask2_price,ask2_size,ask2_orders,ask3_price,ask3_size,ask3_orders,ask4_price,ask4_size,ask4_orders,ask5_price,ask5_size,ask5_orders,ask6_price,ask6_size,ask6_orders,ask7_price,ask7_size,ask7_orders,ask8_price,ask8_size,ask8_orders,ask9_price,ask9_size,ask9_orders,ask10_price,ask10_size,ask10_orders,ask11_price,ask11_size,ask11_orders,ask12_price,ask12_size,ask12_orders,ask13_price,ask13_size,ask13_orders,ask14_price,ask14_size,ask14_orders,ask15_price,ask15_size,ask15_orders,ask16_price,ask16_size,ask16_orders,ask17_price,ask17_size,ask17_orders,ask18_price,ask18_size,ask18_orders,ask19_price,ask19_size,ask19_orders,ask20_price,ask20_size,ask20_orders,ask21_price,ask21_size,ask21_orders,ask22_price,ask22_size,ask22_orders,ask23_price,ask23_size,ask23_orders,ask24_price,ask24_size,ask24_orders,bid_vol_total,ask_vol_total,imbalance,spread,mid_price
1780821665151,62407,581.4,18,62406.9,0.01,1,62406.1,0.01,1,62406,0.01,1,62405.7,0.01,1,62405.6,0.02,2,62405,0.01,1,62404.9,0.01,1,62404.7,0.01,1,62404.5,0.01,1,62404.4,76.88,3,62404.3,124.17,2,62404.2,0.02,2,62404.1,1.62,2,62403.9,1.61,1,62403.7,1.61,1,62403.5,0.01,1,62403.4,0.01,1,62403.3,1.61,1,62403.2,0.02,2,62403.1,123.05,2,62403,1.61,1,62402.8,1.62,2,62402.6,1.61,1,62402.4,1.62,2,62407.1,624.5,27,62407.2,0.81,2,62407.8,0.01,1,62408,0.01,1,62408.1,76.81,1,62408.5,0.02,2,62408.6,239.8,3,62409.1,0.02,2,62409.2,17.48,2,62409.3,1.01,2,62409.4,0.01,1,62409.5,0.02,2,62409.6,0.01,1,62409.7,0.01,1,62409.8,45.26,4,62410,0.01,1,62410.1,0.01,1,62410.4,0.01,1,62411.3,0.01,1,62411.4,0.01,1,62411.5,0.01,1,62411.6,12,2,62411.9,0.01,1,62412,0.01,1,62412.2,0.01,1,918.57,1017.87,-0.0513,0.1,62407.1
1780821695451,62406.7,237.77,25,62406.6,0.01,1,62406.3,0.03,1,62405.5,0.01,1,62405.4,66.99,2,62405.2,0.01,1,62405,0.01,1,62404.9,0.02,2,62404.8,1.61,1,62404.7,0.02,2,62404.6,1.61,1,62404.5,0.01,1,62404.4,1.61,1,62404.3,0.01,1,62404.2,0.8,1,62404.1,0.8,1,62404,135.34,2,62403.9,0.01,1,62403.8,1.63,3,62403.7,0.01,1,62403.6,1.01,2,62403.5,1.61,1,62403.4,0.02,2,62403.3,1.62,2,62403.2,75,1,62406.8,524.4,32,62406.9,81.05,4,62407,150.01,2,62407.1,0.02,1,62407.2,16.03,1,62407.5,0.01,1,62407.7,0.03,3,62407.9,0.01,1,62408.2,0.01,1,62408.3,0.04,4,62408.5,0.03,2,62408.6,1.61,1,62408.8,0.01,1,62408.9,1.61,1,62409.1,1.61,1,62409.2,135.33,1,62409.3,53.51,2,62409.4,0.01,1,62409.5,1.63,3,62409.6,0.81,2,62409.7,1.61,1,62409.8,0.01,1,62409.9,1.61,1,62410,0.01,1,62410.1,1.63,3,527.57,972.64,-0.2967,0.1,62406.8
1780821725751,62425.1,655.86,26,62425,0.01,1,62424.6,0.01,1,62424.5,0.01,1,62424.4,42.78,3,62424.3,15.94,1,62424.1,0.02,2,62424,1.64,2,62423.6,0.01,1,62423.3,0.01,1,62423.2,0.01,1,62423.1,1.61,1,62423,0.02,2,62422.9,1.61,1,62422.7,0.02,2,62422.6,0.02,2,62422.5,1.61,1,62422.4,119.41,2,62422.3,1.62,2,62422.2,0.01,1,62422,1.62,2,62421.8,1.61,1,62421.6,1.62,2,62421.5,86.95,2,62421.4,1.62,2,62425.2,500.75,29,62425.3,0.01,1,62425.8,0.02,1,62426.5,0.01,1,62426.7,0.01,1,62427.3,0.01,1,62427.4,0.01,1,62427.7,0.02,2,62427.8,57.5,4,62427.9,9.62,7,62428.1,0.01,1,62428.2,1.61,1,62428.3,0.33,2,62428.4,0.01,1,62428.5,1.62,2,62428.7,0.01,1,62428.8,1.61,1,62428.9,0.01,1,62429,1.61,1,62429.1,0.01,1,62429.2,1.61,1,62429.3,0.02,2,62429.4,33.71,4,62429.5,0.01,1,62429.6,1.61,1,935.65,611.75,0.2093,0.1,62425.1
1780821756101,62420,626.62,31,62419.9,0.01,1,62419.5,0.01,1,62419.4,1.61,1,62419.2,0.01,1,62419.1,1.62,2,62419,0.05,5,62418.9,1.61,1,62418.7,0.01,1,62418.6,1.61,1,62418.5,0.01,1,62418.4,0.01,1,62418.3,1.61,1,62418.1,0.01,1,62418,0.02,2,62417.9,96.02,4,62417.8,0.01,1,62417.7,1.61,1,62417.6,0.01,1,62417.5,1.62,2,62417.4,125,2,62417.3,1.62,2,62417.2,0.01,1,62417.1,0.01,1,62417,0.01,1,62420.1,229.68,22,62420.2,0.03,2,62420.3,16.02,1,62420.7,0.01,1,62420.9,0.05,1,62421.4,0.01,1,62421.5,0.06,2,62421.6,0.81,2,62422,0.03,2,62422.1,75.5,1,62422.2,0.01,1,62422.3,0.01,1,62422.8,0.01,1,62423.2,0.01,1,62423.3,0.01,1,62423.4,0.04,3,62423.5,78.72,1,62423.6,0.01,1,62423.7,2.61,2,62423.9,0.01,1,62424,65.74,5,62424.1,64.01,2,62424.2,0.32,1,62424.3,0.01,1,62424.4,1.61,1,860.74,535.33,0.2331,0.1,62420.1
1780821786401,62408.4,490.93,19,62408.3,0.01,1,62407.9,0.01,1,62407.6,0.02,1,62407.5,0.01,1,62407.2,0.01,1,62406.7,0.01,1,62406.6,0.82,3,62406.4,0.02,2,62406.3,115.45,6,62406.2,50.03,4,62406.1,180.16,3,62406,43.38,3,62405.9,1.01,2,62405.8,0.02,2,62405.7,1.62,2,62405.4,0.01,1,62404.9,0.01,1,62404.8,1.62,2,62404.6,0.03,1,62404.5,0.01,1,62404.4,1.62,2,62404.3,0.01,1,62404.2,1.63,3,62404,0.02,2,62408.5,758.09,43,62408.6,0.01,1,62409.4,0.01,1,62409.5,16.02,1,62409.8,0.01,1,62409.9,0.8,1,62410,0.01,1,62410.5,0.01,1,62410.6,0.01,1,62410.7,0.01,1,62411.2,0.01,1,62411.6,0.01,1,62411.8,0.01,1,62411.9,0.34,3,62412,124.78,3,62412.1,0.02,2,62412.2,378.11,3,62412.3,121.62,5,62412.4,1,1,62412.5,0.02,2,62412.6,0.8,1,62412.9,0.01,1,62413,0.01,1,62413.7,0.01,1,62413.9,0.01,1,888.47,1401.74,-0.2241,0.1,62408.4
1780821816701,62452.6,423.17,20,62452.5,0.01,1,62452.4,0.01,1,62452.1,0.02,1,62451.7,0.03,2,62451.2,0.01,1,62451,0.03,2,62450.9,2.7,3,62450.8,1.64,4,62450.6,0.02,1,62450.5,1.62,2,62450.3,0.01,1,62450.2,1.61,1,62449.9,0.01,1,62449.8,2.42,3,62449.7,0.01,1,62449.6,1.61,1,62449.5,0.01,1,62449.4,60.43,3,62449.3,1.63,3,62449.2,70.98,2,62449.1,1.61,1,62449,0.02,2,62448.9,1.62,2,62448.7,0.01,1,62452.7,618.67,48,62452.8,0.01,1,62452.9,0.01,1,62453,16.01,1,62453.3,1,1,62453.6,0.03,3,62453.7,57.39,2,62453.9,0.01,1,62454,0.01,1,62454.1,0.03,3,62454.2,11,1,62455.1,0.02,2,62455.2,1.61,1,62455.3,124.69,2,62455.4,1.62,2,62455.5,0.02,2,62455.6,65.72,3,62455.7,204.91,2,62455.8,2.41,2,62455.9,0.01,1,62456,1.62,2,62456.2,1.61,1,62456.3,0.32,1,62456.4,1.62,2,62456.6,1.62,2,571.24,1111.97,-0.3212,0.1,62452.6
1780821847001,62500.3,487.41,21,62500.2,0.01,1,62500.1,0.22,2,62500,681.25,2,62499.7,0.01,1,62499.6,0.02,2,62499.3,0.01,1,62499.1,0.01,1,62499,0.01,1,62498.6,0.01,1,62498.1,0.01,1,62497.9,0.01,1,62497.8,0.81,2,62497.7,0.01,1,62497.3,0.01,1,62497.2,0.04,2,62497,0.01,1,62496.9,0.01,1,62496.8,1.6,1,62496.7,0.01,1,62496.5,0.01,1,62496.4,1.6,1,62496.3,0.02,2,62496.2,1.6,1,62496.1,0.04,3,62500.4,553.44,22,62500.5,16.01,2,62501.7,0.01,1,62501.9,0.01,1,62502.5,0.01,1,62502.6,0.01,1,62503.1,0.02,2,62503.2,0.79,1,62503.3,0.02,2,62503.4,137.21,4,62503.5,136.02,4,62503.6,12.83,2,62503.7,0.02,2,62503.8,128.3,2,62503.9,306,1,62504.1,0.01,1,62504.2,1.07,1,62504.3,0.01,1,62504.4,0.01,1,62504.9,0.01,1,62505,0.01,1,62505.1,1.6,1,62505.3,1.63,4,62505.6,1.6,1,62505.9,1.6,1,1174.75,1298.25,-0.0499,0.1,62500.4
1780821877301,62525.4,358.55,17,62525.3,0.01,1,62525,0.02,2,62524.9,0.01,1,62524.6,0.02,1,62523.9,0.03,2,62523.8,3.59,4,62523.7,0.02,1,62523.6,1.6,1,62523.5,7.5,1,62523.4,1.6,1,62523.3,0.01,1,62523.2,0.01,1,62523.1,1.6,1,62522.9,0.01,1,62522.8,2.44,2,62522.7,0.01,1,62522.6,0.02,2,62522.5,1.6,1,62522.3,1.61,2,62522.1,1.61,2,62521.9,1.6,1,62521.7,0.01,1,62521.2,0.02,2,62521,0.02,1,62525.5,654.54,25,62525.6,0.01,1,62526.1,0.32,2,62527,0.01,1,62527.4,0.01,1,62527.6,0.01,1,62528.1,41.55,2,62528.6,0.01,1,62528.7,11.93,1,62529.3,0.01,1,62530.2,536.39,2,62530.3,312.79,4,62530.4,853.43,12,62531.2,3.04,2,62531.5,0.01,1,62531.8,1.5,1,62531.9,0.02,2,62532,17,3,62532.1,12,2,62532.3,12,2,62532.4,0.01,1,62532.5,1.61,2,62532.6,0.02,1,62532.7,1,1,62532.9,1,1,383.52,2460.22,-0.7303,0.1,62525.4
1780821907601,62556.7,1480.8,74,62556.6,1.04,4,62556.5,1.81,4,62556.4,0.01,1,62556.1,0.02,1,62556,1.6,1,62555.9,0.03,2,62555.8,1.61,2,62555.7,0.87,2,62555.6,1.61,2,62555.4,0.01,1,62555.3,1.6,1,62555.1,0.01,1,62555,24.09,4,62554.9,75.26,3,62554.8,1.6,1,62554.6,0.01,1,62554.4,0.01,1,62554,0.01,1,62553.9,0.01,1,62553.8,0.01,1,62553.2,0.01,1,62553.1,0.01,1,62552.6,0.01,1,62552.2,0.01,1,62556.8,59.6,7,62556.9,0.01,1,62557,0.11,2,62557.1,0.02,1,62557.3,0.01,1,62557.4,2,1,62557.7,0.01,1,62557.8,0.06,3,62557.9,0.14,3,62558,0.01,1,62558.1,24.03,2,62558.2,1.02,3,62558.3,0.02,2,62558.4,0.04,1,62558.6,0.01,1,62558.7,0.02,2,62558.8,0.03,2,62558.9,0.11,4,62559.2,0.01,1,62559.3,0.51,2,62559.4,0.15,2,62559.5,0.01,1,62559.6,0.02,2,62559.7,0.12,5,62559.8,0.02,2,1592.06,88.09,0.8951,0.1,62556.8
