timestamp_ms,side,price,size,trade_id
1780929647883,sell,63851.4,0.00000001,1017412728
1780929647883,sell,63852,0.00031,1017412727
1780929647881,sell,63852.8,0.00093,1017412726
1780929647862,sell,63853.2,0.00001198,1017412725
1780929647785,sell,63856.4,0.00030861,1017412724
1780929647652,buy,63856.5,0.0000783,1017412723
1780929647174,sell,63856.4,0.00061726,1017412722
1780929645862,sell,63856.4,0.00250635,1017412721
1780929645802,sell,63856.4,0.00002492,1017412720
1780929644651,buy,63856.5,0.00828132,1017412719
1780929643461,buy,63856.5,0.0000783,1017412718
1780929641721,buy,63856.5,0.00154467,1017412717
1780929641606,buy,63856,0.00031,1017412716
1780929641606,buy,63854.5,0.00001572,1017412715
1780929641606,buy,63852.8,0.00165026,1017412714
1780929641022,sell,63852.7,0.00167658,1017412713
1780929641022,sell,63852.7,0.00000001,1017412712
1780929639264,buy,63852.6,0.00001572,1017412711
1780929639264,buy,63852,0.00031,1017412710
1780929639264,buy,63850,0.00012002,1017412709
1780929639264,buy,63849.8,0.000015,1017412708
1780929639264,buy,63848.8,0.00049909,1017412707
1780929639246,buy,63846.2,0.00783131,1017412706
1780929639181,buy,63846.1,0.00023154,1017412705
1780929639181,buy,63846.1,0.0007,1017412704
1780929638987,buy,63846.1,0.00046807,1017412703
1780929638987,buy,63846.1,0.0012,1017412702
1780929638472,sell,63848.7,0.00000082,1017412701
1780929638470,sell,63848.7,0.04406386,1017412700
1780929638470,sell,63848.7,0.0014,1017412699
1780929638470,sell,63848.7,0.06215814,1017412698
1780929638405,sell,63848.7,0.00009711,1017412697
1780929638216,sell,63848.7,0.15031119,1017412696
1780929638216,sell,63848.7,0.0565,1017412695
1780929638216,sell,63848.7,0.047732,1017412694
1780929638216,sell,63848.7,0.0278778,1017412693
1780929638216,sell,63848.7,0.00000001,1017412692
1780929638212,buy,63848,0.00031,1017412691
1780929638212,buy,63847.2,0.00002,1017412690
1780929638212,buy,63846.9,0.00001572,1017412689
1780929638212,buy,63844,0.00031,1017412688
1780929638212,buy,63843.4,0.00001501,1017412687
1780929637956,sell,63842.6,0.00031,1017412686
1780929637924,sell,63842.6,0.00031,1017412685
1780929637863,buy,63840,0.00031,1017412684
1780929637860,buy,63839.3,0.00046015,1017412683
1780929637858,buy,63837,0.00001501,1017412682
1780929637855,buy,63835.1,0.00093,1017412681
1780929637805,buy,63829.5,0.00226332,1017412680
1780929637600,sell,63827.4,0.00003,1017412679
1780929637600,sell,63828,0.00031,1017412678
1780929637600,sell,63829.7,0.00061726,1017412677
1780929637587,sell,63832,0.00031,1017412676
1780929637585,sell,63832.5,0.00029999,1017412675
1780929637585,sell,63832.7,0.00066192,1017412674
1780929637582,sell,63835,0.00338417,1017412673
1780929637582,sell,63835.1,0.00001249,1017412672
1780929635698,sell,63839,0.00062711,1017412671
1780929633313,buy,63839.1,0.00083514,1017412670
1780929632902,sell,63832.7,0.00159856,1017412669
1780929632034,sell,63835,0.00001294,1017412668
1780929632028,sell,63839.1,0.0003363,1017412667
1780929632028,sell,63839.1,0.00010906,1017412666
1780929631990,sell,63839.1,0.009,1017412665
1780929631518,buy,63839.2,0.0101506,1017412664
1780929631518,buy,63839.2,0.0008,1017412663
1780929631518,buy,63839.2,0.00209064,1017412662
1780929631518,buy,63839.2,0.00260118,1017412661
1780929629902,sell,63839.1,0.00622167,1017412660
1780929629902,sell,63839.1,0.00000001,1017412659
1780929629792,buy,63837,0.000015,1017412658
1780929629792,buy,63836,0.00031,1017412657
1780929629792,buy,63832,0.00031,1017412656
1780929629106,buy,63831,0.00313014,1017412655
1780929628199,sell,63830.9,0.000219,1017412654
1780929628199,sell,63830.9,0.00001001,1017412653
1780929628197,buy,63830.6,0.00001501,1017412652
1780929628030,buy,63826.2,0.00021178,1017412651
1780929628030,buy,63826.2,0.00033622,1017412650
1780929628025,buy,63826.2,0.00909372,1017412649
1780929628025,buy,63826.2,0.00100564,1017412648
1780929628025,buy,63826.2,0.00519967,1017412647
1780929628025,buy,63826.2,0.00809949,1017412646
1780929628025,buy,63826.2,0.00679957,1017412645
1780929628025,buy,63826.2,0.00899943,1017412644
1780929628025,buy,63826.2,0.0074962,1017412643
1780929703403,buy,63904,0.0001643,1017413275
1780929702061,buy,63904,0.000785,1017413274
1780929702061,buy,63904,0.00031,1017413273
1780929702059,buy,63903.6,0.00008019,1017413272
1780929702059,buy,63903.2,0.00003,1017413271
1780929702020,buy,63900,0.000547,1017413270
1780929702020,buy,63900,0.00000001,1017413269
1780929702020,buy,63900,0.00031,1017413268
1780929702017,buy,63896.5,0.04364411,1017413267
1780929701708,sell,63896.4,0.00156525,1017413266
1780929701492,buy,63896.5,0.00015589,1017413265
1780929701492,buy,63896.5,0.00001,1017413264
1780929701352,sell,63896.4,0.00029241,1017413263
1780929699589,buy,63896.5,0.00016589,1017413262
1780929698923,sell,63896.4,0.00031,1017413261
1780929698891,sell,63896.4,0.00031,1017413260
1780929698853,sell,63896.4,0.00031,1017413259
1780929698813,sell,63896.4,0.00031,1017413258
1780929697687,buy,63896.5,0.00016589,1017413257
1780929697261,sell,63894.4,0.00026205,1017413256
1780929697261,sell,63898.5,0.00083295,1017413255
1780929697252,sell,63900.9,0.00062472,1017413254
1780929697243,sell,63898.4,0.00062473,1017413253
1780929697242,sell,63898.4,0.00026822,1017413252
1780929697242,sell,63898.4,0.00020206,1017413251
1780929697242,sell,63901,0.00062472,1017413250
1780929697235,buy,63901,0.000015,1017413249
